id,id_deo,pogon_kod,sifra_merenja,radni_nalog,faza_naziv,linija_faza,linija_id,masina_id,naziv_dela,slika,ukupno_kom,kom_za_kontrolu_n,nivo_kontrole,fai_broj_merenja,broj_merenja,pozicija,klasa,naziv_mere,nominala,usl,lsl,merni_instrument,jedinica,napomena
56,NM-001,C,2,RN-2026-NM001,Geometrijska kontrola,Karoserija,3,,Nosač motora,NM-01.png,100,100,,,5,Simetričnost sklopa,Major,Simetričnost sklopa,0,0.2,-0.2,Komparator,mm,
48,NM-001,B,3,RN-2026-NM001,Savijanje,Preseraj,2,1,Nosač motora,NM-01.png,100,100,,,5,Širina savijanja,Major,Širina savijanja,80,80.1,79.9,Pomično merilo,mm,
49,NM-001,B,3,RN-2026-NM001,Savijanje,Preseraj,2,1,Nosač motora,NM-01.png,100,100,,,5,Ugao savijanja,Major,Ugao savijanja,90,90.5,89.5,Uglomer,stepen,
37,NM-001,B,1,RN-2026-NM001,Laser sečenje,Preseraj,2,,Nosač motora,NM-01.png,100,100,,,5,Ukupna dužina,Critical,Ukupna dužina,230,230.2,229.8,Pomično merilo,mm,
38,NM-001,B,1,RN-2026-NM001,Laser sečenje,Preseraj,2,,Nosač motora,NM-01.png,100,100,,,5,Ukupna visina,Critical,Ukupna visina,130,130.2,129.8,Pomično merilo,mm,
39,NM-001,B,1,RN-2026-NM001,Laser sečenje,Preseraj,2,,Nosač motora,NM-01.png,100,100,,,5,Unutrašnji otvor,Critical,Unutrašnji otvor,190,190.1,189.9,Pomično merilo,mm,
47,NM-001,B,3,RN-2026-NM001,Savijanje,Preseraj,2,1,Nosač motora,NM-01.png,100,100,,,5,Visina savijanja,Major,Visina savijanja,110,110.1,109.9,Pomično merilo,mm,
51,NM-001,C,1,RN-2026-NM001,Vizuelna kontrola zavarivanje,Karoserija,3,,Nosač motora,NM-01.png,100,100,,,5,Visina vara,Major,Visina vara,6,7,5,Vizuelna + šablonska skala,mm,
58,NT-001,A,1,RN-2026-NT001-A,Vizuelna kontrola ulazna,Ulazna kontrola,1,,Nosač motora,nosac motora NTV.png,50,50,,,5,Debljina lima,Major,Debljina lima,10,10.2,9.8,Mikrometar,mm,
64,NT-001,B,1,RN-2026-NT001-B,Laser sečenje,Preseraj,2,,Nosač motora,nosac motora NTV.png,50,50,,,5,Donji otvor,Critical,Donji otvor,160,160.1,159.9,Pomično merilo,mm,
78,NT-001,C,2,RN-2026-NT001-C,Zavarivanje,Karoserija,3,,Nosač motora,nosac motora NTV.png,50,50,,,,Duzina vara,Major,Duzina vara,,,,Vizuelna VT,mm,
85,NT-001,C,3,RN-2026-NT001-C,Geometrijska kontrola,Karoserija,3,,Nosač motora,nosac motora NTV.png,50,50,,,5,Koncentričnost rupa,,Koncentričnost rupa,0,0.2,-0.2,Komparator,mm,
87,NT-001,F,1,RN-2026-NT001-F,Završna kontrola,Završna,6,,Nosač motora,nosac motora NTV.png,50,50,,,5,Masa dela,,Masa dela,3.2,3.4,3,Vaga,kg,
68,NT-001,B,1,RN-2026-NT001-B,Bušenje,Preseraj,2,3,Nosač motora,nosac motora NTV.png,50,50,,,5,Ø14 rupe (4 kom),Major,Ø14 rupe (4 kom),14,14.2,13.8,Mikrometar,mm,
67,NT-001,B,1,RN-2026-NT001-B,Bušenje,Preseraj,2,3,Nosač motora,nosac motora NTV.png,50,50,,,5,Ø17 rupe (2 kom),Major,Ø17 rupe (2 kom),17,17.2,16.8,Mikrometar,mm,
66,NT-001,B,1,RN-2026-NT001-B,Bušenje,Preseraj,2,3,Nosač motora,nosac motora NTV.png,50,50,,,5,Ø18 rupe (2 kom),Major,Ø18 rupe (2 kom),18,18.2,17.8,Mikrometar,mm,
88,NT-001,F,1,RN-2026-NT001-F,Završna kontrola,Završna,6,,Nosač motora,nosac motora NTV.png,50,50,,,5,Oštre ivice,,Oštre ivice,,,,Vizuelno,mm,
90,NT-001,F,1,RN-2026-NT001-F,Završna kontrola,Završna,6,,Nosač motora,nosac motora NTV.png,50,50,,,5,Oznaka dela,,Oznaka dela,,,,Vizuelno,mm,
83,NT-001,C,3,RN-2026-NT001-C,Geometrijska kontrola,Karoserija,3,,Nosač motora,nosac motora NTV.png,50,50,,,5,Paralelnost bocnih nosaca,,Paralelnost bocnih nosaca,0,0.2,0,Komparator,mm,
79,NT-001,C,2,RN-2026-NT001-C,Zavarivanje,Karoserija,3,,Nosač motora,nosac motora NTV.png,50,50,,,,Poroznost,Major,Poroznost,0,0,0,Vizuelna VT,mm,
60,NT-001,A,2,RN-2026-NT001-A,Ulazna kontrola,Ulazna kontrola,1,,Nosač motora,nosac motora NTV.png,50,50,,,,Površinska oštećenja,Critical,Površinska oštećenja,,,,Vizuelno,mm,
89,NT-001,F,1,RN-2026-NT001-F,Završna kontrola,Završna,6,,Nosač motora,nosac motora NTV.png,50,50,,,5,Površinska zaštita,,Površinska zaštita,,,,Vizuelno,mm,
71,NT-001,B,2,RN-2026-NT001-B,Bušenje,Preseraj,2,3,Nosač motora,nosac motora NTV.png,50,50,,,5,Pozicija Ø14 rupa,Major,Pozicija Ø14 rupa,,0.3,-0.3,Mikrometar,mm,
69,NT-001,B,1,RN-2026-NT001-B,Bušenje,Preseraj,2,3,Nosač motora,nosac motora NTV.png,50,50,,,5,Pozicija Ø18 rupa X,Major,Pozicija Ø18 rupa X,,0.2,-0.2,Pomično merilo,mm,
70,NT-001,B,1,RN-2026-NT001-B,Bušenje,Preseraj,2,3,Nosač motora,nosac motora NTV.png,50,50,,,5,Pozicija Ø18 rupa Y,Major,Pozicija Ø18 rupa Y,,0.2,-0.2,Komparator,mm,
84,NT-001,C,3,RN-2026-NT001-C,Geometrijska kontrola,Karoserija,3,,Nosač motora,nosac motora NTV.png,50,50,,,5,Pravougaonost,,Pravougaonost,90,90.2,89.8,Uglomer,stepen,
80,NT-001,C,2,RN-2026-NT001-C,Zavarivanje,Karoserija,3,,Nosač motora,nosac motora NTV.png,50,50,,,,Prskanje,,Prskanje,0,0,0,Vizuelna VT,mm,
81,NT-001,C,2,RN-2026-NT001-C,Zavarivanje,Karoserija,3,,Nosač motora,nosac motora NTV.png,50,50,,,,Pukotine,,Pukotine,0,0,0,Vizuelna VT,mm,
65,NT-001,B,1,RN-2026-NT001-B,Laser sečenje,Preseraj,2,,Nosač motora,nosac motora NTV.png,50,50,,,5,Radijus R8,Minor,Radijus R8,8,8.2,7.8,Šablon,mm,
82,NT-001,C,3,RN-2026-NT001-C,Geometrijska kontrola,Karoserija,3,,Nosač motora,nosac motora NTV.png,50,50,,,5,Ravnost baze,,Ravnost baze,0,0.2,0,Komparator,mm,
59,NT-001,A,2,RN-2026-NT001-A,Ulazna kontrola,Ulazna kontrola,1,,Nosač motora,nosac motora NTV.png,50,50,,,,Sertifikat materijala,Critical,Sertifikat materijala,,,,Dokumentacija,mm,
76,NT-001,B,3,RN-2026-NT001-B,Savijanje,Preseraj,2,1,Nosač motora,nosac motora NTV.png,50,50,,,5,Simetricnost,Major,Simetricnost,0,0.2,-0.2,Komparator,mm,
86,NT-001,C,3,RN-2026-NT001-C,Geometrijska kontrola,Karoserija,3,,Nosač motora,nosac motora NTV.png,50,50,,,5,Simetričnost sklopa,,Simetričnost sklopa,0,0.2,-0.2,Komparator,mm,
73,NT-001,B,3,RN-2026-NT001-B,Savijanje,Preseraj,2,1,Nosač motora,nosac motora NTV.png,50,50,,,5,Širina preseka,Major,Širina preseka,110,110.1,109.9,Pomično merilo,mm,
75,NT-001,B,3,RN-2026-NT001-B,Savijanje,Preseraj,2,1,Nosač motora,nosac motora NTV.png,50,50,,,5,Ugao savijanja,Major,Ugao savijanja,90,90.5,89.5,Uglomer,stepen,
61,NT-001,B,1,RN-2026-NT001-B,Laser sečenje,Preseraj,2,,Nosač motora,nosac motora NTV.png,50,50,,,5,Ukupna dužina,Critical,Ukupna dužina,280,280.2,279.8,Pomično merilo,mm,
62,NT-001,B,1,RN-2026-NT001-B,Laser sečenje,Preseraj,2,,Nosač motora,nosac motora NTV.png,50,50,,,5,Ukupna visina,Critical,Ukupna visina,155,155.2,154.8,Pomično merilo,mm,
72,NT-001,B,3,RN-2026-NT001-B,Savijanje,Preseraj,2,1,Nosač motora,nosac motora NTV.png,50,50,,,5,Unutrasnja sirina,Major,Unutrasnja sirina,80,80.1,79.9,Pomično merilo,mm,
63,NT-001,B,1,RN-2026-NT001-B,Laser sečenje,Preseraj,2,,Nosač motora,nosac motora NTV.png,50,50,,,5,Unutrašnji otvor,Major,Unutrašnji otvor,240,240.1,239.9,Pomično merilo,mm,
74,NT-001,B,3,RN-2026-NT001-B,Savijanje,Preseraj,2,1,Nosač motora,nosac motora NTV.png,50,50,,,5,Visina nosaca,Major,Visina nosaca,155,155.2,154.8,Pomično merilo,mm,
77,NT-001,C,1,RN-2026-NT001-C,Vizuelna kontrola zavarivanje,Karoserija,3,,Nosač motora,nosac motora NTV.png,50,50,,,5,Visina vara,Major,Visina vara,6,7,5,Vizuelna + šablonska skala,mm,
91,NT-001,F,1,RN-2026-NT001-F,Završna kontrola,Završna,6,,Nosač motora,nosac motora NTV.png,50,50,,,5,Vizuelni izgled,,Vizuelni izgled,,,,Vizuelno,mm,
